"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B19313_001E","Estimate!!Aggregate income in the past 12 months (in 2021 inflation-adjusted dollars)"
"B19313_001M","Margin of Error!!Aggregate income in the past 12 months (in 2021 inflation-adjusted dollars)"
