"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"310M600US10180","Abilene, TX Metro Area","171354","*****",
"310M600US10380","Aguadilla-Isabela, PR Metro Area","295172","*****",
"310M600US10420","Akron, OH Metro Area","703286","*****",
"310M600US10500","Albany, GA Metro Area","147431","*****",
"310M600US10540","Albany-Lebanon, OR Metro Area","127216","*****",
"310M600US10580","Albany-Schenectady-Troy, NY Metro Area","880766","*****",
"310M600US10740","Albuquerque, NM Metro Area","915986","*****",
"310M600US10780","Alexandria, LA Metro Area","152715","*****",
"310M600US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","841265","*****",
"310M600US11020","Altoona, PA Metro Area","122495","3",
"310M600US11100","Amarillo, TX Metro Area","264345","144",
"310M600US11180","Ames, IA Metro Area","123736","*****",
"310M600US11260","Anchorage, AK Metro Area","399450","*****",
"310M600US11460","Ann Arbor, MI Metro Area","368385","*****",
"310M600US11500","Anniston-Oxford, AL Metro Area","114324","*****",
"310M600US11540","Appleton, WI Metro Area","236834","*****",
"310M600US11640","Arecibo, PR Metro Area","177570","*****",
"310M600US11700","Asheville, NC Metro Area","459344","*****",
"310M600US12020","Athens-Clarke County, GA Metro Area","210810","*****",
"310M600US12060","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5947008","*****",
"310M600US12100","Atlantic City-Hammonton, NJ Metro Area","264650","*****",
"310M600US12220","Auburn-Opelika, AL Metro Area","163461","*****",
"310M600US12260","Augusta-Richmond County, GA-SC Metro Area","605303","*****",
"310M600US12420","Austin-Round Rock-Georgetown, TX Metro Area","2173804","*****",
"310M600US12540","Bakersfield, CA Metro Area","892458","*****",
"310M600US12580","Baltimore-Columbia-Towson, MD Metro Area","2800427","*****",
"310M600US12620","Bangor, ME Metro Area","151696","*****",
"310M600US12700","Barnstable Town, MA Metro Area","213505","*****",
"310M600US12940","Baton Rouge, LA Metro Area","856779","*****",
"310M600US12980","Battle Creek, MI Metro Area","133943","*****",
"310M600US13020","Bay City, MI Metro Area","103506","*****",
"310M600US13140","Beaumont-Port Arthur, TX Metro Area","394268","*****",
"310M600US13220","Beckley, WV Metro Area","117539","*****",
"310M600US13380","Bellingham, WA Metro Area","224538","*****",
"310M600US13460","Bend, OR Metro Area","191749","*****",
"310M600US13740","Billings, MT Metro Area","180641","*****",
"310M600US13780","Binghamton, NY Metro Area","240473","*****",
"310M600US13820","Birmingham-Hoover, AL Metro Area","1088170","*****",
