"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"310M100US10180","Abilene, TX Metro Area","165083","*****",
"310M100US10380","Aguadilla-Isabela-San Sebastián, PR Metro Area","305538","*****",
"310M100US10420","Akron, OH Metro Area","702966","*****",
"310M100US10500","Albany, GA Metro Area","157634","*****",
"310M100US10580","Albany-Schenectady-Troy, NY Metro Area","870890","*****",
"310M100US10740","Albuquerque, NM Metro Area","885683","*****",
"310M100US10780","Alexandria, LA Metro Area","153704","*****",
"310M100US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","821273","*****",
"310M100US11020","Altoona, PA Metro Area","127133","*****",
"310M100US11100","Amarillo, TX Metro Area","250224","116",
"310M100US11180","Ames, IA Metro Area","89734","*****",
"310M100US11260","Anchorage, AK Metro Area","380789","*****",
"310M100US11300","Anderson, IN Metro Area","131244","*****",
"310M100US11340","Anderson, SC Metro Area","187228","*****",
"310M100US11460","Ann Arbor, MI Metro Area","346010","*****",
"310M100US11500","Anniston-Oxford, AL Metro Area","117834","*****",
"310M100US11540","Appleton, WI Metro Area","225737","*****",
"310M100US11700","Asheville, NC Metro Area","425219","*****",
"310M100US12020","Athens-Clarke County, GA Metro Area","193309","*****",
"310M100US12060","Atlanta-Sandy Springs-Marietta, GA Metro Area","5291701","*****",
"310M100US12100","Atlantic City-Hammonton, NJ Metro Area","274402","*****",
"310M100US12220","Auburn-Opelika, AL Metro Area","140938","*****",
"310M100US12260","Augusta-Richmond County, GA-SC Metro Area","556938","*****",
"310M100US12420","Austin-Round Rock-San Marcos, TX Metro Area","1731777","*****",
"310M100US12540","Bakersfield-Delano, CA Metro Area","839153","*****",
"310M100US12580","Baltimore-Towson, MD Metro Area","2715650","*****",
"310M100US12620","Bangor, ME Metro Area","153742","*****",
"310M100US12700","Barnstable Town, MA Metro Area","216021","*****",
"310M100US12940","Baton Rouge, LA Metro Area","802389","*****",
"310M100US12980","Battle Creek, MI Metro Area","136063","*****",
"310M100US13020","Bay City, MI Metro Area","107633","*****",
"310M100US13140","Beaumont-Port Arthur, TX Metro Area","388430","*****",
"310M100US13380","Bellingham, WA Metro Area","201404","*****",
"310M100US13460","Bend, OR Metro Area","158884","*****",
"310M100US13740","Billings, MT Metro Area","158248","*****",
"310M100US13780","Binghamton, NY Metro Area","250995","*****",
"310M100US13820","Birmingham-Hoover, AL Metro Area","1128093","*****",
"310M100US13900","Bismarck, ND Metro Area","109380","*****",
"310M100US13980","Blacksburg-Christiansburg-Radford, VA Metro Area","162708","*****",
"310M100US14020","Bloomington, IN Metro Area","192663","*****",
"310M100US14060","Bloomington-Normal, IL Metro Area","169689","*****",
"310M100US14260","Boise City-Nampa, ID Metro Area","619618","*****",
"310M100US14460","Boston-Cambridge-Quincy, MA-NH Metro Area","4563673","*****",
"310M100US14500","Boulder, CO Metro Area","297218","*****",
"310M100US14540","Bowling Green, KY Metro Area","125928","*****",
"310M100US14740","Bremerton-Silverdale, WA Metro Area","251400","*****",
"310M100US14860","Bridgeport-Stamford-Norwalk, CT Metro Area","918892","*****",
"310M100US15180","Brownsville-Harlingen, TX Metro Area","405819","*****",
"310M100US15260","Brunswick, GA Metro Area","112026","*****",
"310M100US15380","Buffalo-Niagara Falls, NY Metro Area","1135411","*****",
"310M100US15500","Burlington, NC Metro Area","151170","*****",
"310M100US15540","Burlington-South Burlington, VT Metro Area","211581","*****",
"310M100US15940","Canton-Massillon, OH Metro Area","404421","*****",
"310M100US15980","Cape Coral-Fort Myers, FL Metro Area","624155","*****",
"310M100US16020","Cape Girardeau-Jackson, MO-IL Metro Area","96226","*****",
