"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"310M500US10180","Abilene, TX Metro Area","170669","*****",
"310M500US10380","Aguadilla-Isabela, PR Metro Area","301107","*****",
"310M500US10420","Akron, OH Metro Area","703845","*****",
"310M500US10500","Albany, GA Metro Area","148436","*****",
"310M500US10540","Albany-Lebanon, OR Metro Area","125048","*****",
"310M500US10580","Albany-Schenectady-Troy, NY Metro Area","880736","*****",
"310M500US10740","Albuquerque, NM Metro Area","912108","*****",
"310M500US10780","Alexandria, LA Metro Area","153310","*****",
"310M500US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","837610","*****",
"310M500US11020","Altoona, PA Metro Area","123157","*****",
"310M500US11100","Amarillo, TX Metro Area","263776","102",
"310M500US11180","Ames, IA Metro Area","123311","*****",
"310M500US11260","Anchorage, AK Metro Area","398900","*****",
"310M500US11460","Ann Arbor, MI Metro Area","367000","*****",
"310M500US11500","Anniston-Oxford, AL Metro Area","114618","*****",
"310M500US11540","Appleton, WI Metro Area","235628","*****",
"310M500US11640","Arecibo, PR Metro Area","180567","*****",
"310M500US11700","Asheville, NC Metro Area","454351","*****",
"310M500US12020","Athens-Clarke County, GA Metro Area","208457","*****",
"310M500US12060","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5862424","*****",
"310M500US12100","Atlantic City-Hammonton, NJ Metro Area","266105","*****",
"310M500US12220","Auburn-Opelika, AL Metro Area","161152","*****",
"310M500US12260","Augusta-Richmond County, GA-SC Metro Area","599616","*****",
"310M500US12420","Austin-Round Rock-Georgetown, TX Metro Area","2114441","*****",
"310M500US12540","Bakersfield, CA Metro Area","887641","*****",
"310M500US12580","Baltimore-Columbia-Towson, MD Metro Area","2796733","*****",
"310M500US12620","Bangor, ME Metro Area","151774","*****",
"310M500US12700","Barnstable Town, MA Metro Area","213496","*****",
"310M500US12940","Baton Rouge, LA Metro Area","854318","*****",
"310M500US12980","Battle Creek, MI Metro Area","134212","*****",
"310M500US13020","Bay City, MI Metro Area","104104","*****",
"310M500US13140","Beaumont-Port Arthur, TX Metro Area","395174","*****",
"310M500US13220","Beckley, WV Metro Area","118828","*****",
"310M500US13380","Bellingham, WA Metro Area","220821","*****",
"310M500US13460","Bend, OR Metro Area","186251","*****",
"310M500US13740","Billings, MT Metro Area","179071","*****",
"310M500US13780","Binghamton, NY Metro Area","241874","*****",
"310M500US13820","Birmingham-Hoover, AL Metro Area","1085330","*****",
"310M500US13900","Bismarck, ND Metro Area","127503","105",
"310M500US13980","Blacksburg-Christiansburg, VA Metro Area","166785","*****",
"310M500US14010","Bloomington, IL Metro Area","172578","*****",
"310M500US14020","Bloomington, IN Metro Area","167296","*****",
"310M500US14100","Bloomsburg-Berwick, PA Metro Area","83974","*****",
"310M500US14260","Boise City, ID Metro Area","710743","*****",
"310M500US14460","Boston-Cambridge-Newton, MA-NH Metro Area","4832346","*****",
"310M500US14500","Boulder, CO Metro Area","322510","*****",
"310M500US14540","Bowling Green, KY Metro Area","174498","*****",
"310M500US14740","Bremerton-Silverdale-Port Orchard, WA Metro Area","265882","*****",
"310M500US14860","Bridgeport-Stamford-Norwalk, CT Metro Area","943926","*****",
"310M500US15180","Brownsville-Harlingen, TX Metro Area","421666","*****",
"310M500US15260","Brunswick, GA Metro Area","117400","*****",
"310M500US15380","Buffalo-Cheektowaga, NY Metro Area","1130175","*****",
"310M500US15500","Burlington, NC Metro Area","163324","*****",
"310M500US15540","Burlington-South Burlington, VT Metro Area","218784","*****",
"310M500US15680","California-Lexington Park, MD Metro Area","112290","*****",
"310M500US15940","Canton-Massillon, OH Metro Area","399736","*****",
"310M500US15980","Cape Coral-Fort Myers, FL Metro Area","737468","*****",
"310M500US16020","Cape Girardeau, MO-IL Metro Area","96976","*****",
"310M500US16060","Carbondale-Marion, IL Metro Area","137573","*****",
"310M500US16180","Carson City, NV Metro Area","54773","*****",
"310M500US16220","Casper, WY Metro Area","80333","*****",
"310M500US16300","Cedar Rapids, IA Metro Area","270056","*****",
"310M500US16540","Chambersburg-Waynesboro, PA Metro Area","154147","*****",
"310M500US16580","Champaign-Urbana, IL Metro Area","226323","*****",
"310M500US16620","Charleston, WV Metro Area","264113","*****",
"310M500US16700","Charleston-North Charleston, SC Metro Area","774508","*****",
"310M500US16740","Charlotte-Concord-Gastonia, NC-SC Metro Area","2545560","*****",
"310M500US16820","Charlottesville, VA Metro Area","215445","*****",
"310M500US16860","Chattanooga, TN-GA Metro Area","556209","*****",
"310M500US16940","Cheyenne, WY Metro Area","98320","*****",
"310M500US16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","9508605","*****",
"310M500US17020","Chico, CA Metro Area","225817","*****",
"310M500US17140","Cincinnati, OH-KY-IN Metro Area","2201741","*****",
"310M500US17300","Clarksville, TN-KY Metro Area","299470","*****",
"310M500US17420","Cleveland, TN Metro Area","122563","*****",
"310M500US17460","Cleveland-Elyria, OH Metro Area","2056898","*****",
"310M500US17660","Coeur d'Alene, ID Metro Area","157322","*****",
"310M500US17780","College Station-Bryan, TX Metro Area","258029","*****",
"310M500US17820","Colorado Springs, CO Metro Area","723498","*****",
"310M500US17860","Columbia, MO Metro Area","205369","*****",
"310M500US17900","Columbia, SC Metro Area","824278","*****",
"310M500US17980","Columbus, GA-AL Metro Area","319402","*****",
"310M500US18020","Columbus, IN Metro Area","82481","*****",
"310M500US18140","Columbus, OH Metro Area","2077761","*****",
"310M500US18580","Corpus Christi, TX Metro Area","428548","*****",
"310M500US18700","Corvallis, OR Metro Area","91107","*****",
"310M500US18880","Crestview-Fort Walton Beach-Destin, FL Metro Area","272056","*****",
"310M500US19060","Cumberland, MD-WV Metro Area","98612","*****",
"310M500US19100","Dallas-Fort Worth-Arlington, TX Metro Area","7320663","*****",
"310M500US19140","Dalton, GA Metro Area","143961","*****",
"310M500US19180","Danville, IL Metro Area","77563","*****",
"310M500US19300","Daphne-Fairhope-Foley, AL Metro Area","212830","*****",
"310M500US19340","Davenport-Moline-Rock Island, IA-IL Metro Area","381175","*****",
"310M500US19430","Dayton-Kettering, OH Metro Area","803543","*****",
"310M500US19460","Decatur, AL Metro Area","152271","*****",
"310M500US19500","Decatur, IL Metro Area","105528","*****",
"310M500US19660","Deltona-Daytona Beach-Ormond Beach, FL Metro Area","646288","*****",
"310M500US19740","Denver-Aurora-Lakewood, CO Metro Area","2892066","*****",
"310M500US19780","Des Moines-West Des Moines, IA Metro Area","680439","*****",
"310M500US19820","Detroit-Warren-Dearborn, MI Metro Area","4317848","*****",
"310M500US20020","Dothan, AL Metro Area","148252","*****",
"310M500US20100","Dover, DE Metro Area","176699","*****",
"310M500US20220","Dubuque, IA Metro Area","96982","*****",
"310M500US20260","Duluth, MN-WI Metro Area","289247","*****",
"310M500US20500","Durham-Chapel Hill, NC Metro Area","626695","*****",
"310M500US20700","East Stroudsburg, PA Metro Area","168032","*****",
"310M500US20740","Eau Claire, WI Metro Area","167406","*****",
"310M500US20940","El Centro, CA Metro Area","180701","*****",
"310M500US21060","Elizabethtown-Fort Knox, KY Metro Area","150913","*****",
"310M500US21140","Elkhart-Goshen, IN Metro Area","204558","*****",
"310M500US21300","Elmira, NY Metro Area","84895","*****",
"310M500US21340","El Paso, TX Metro Area","840477","*****",
"310M500US21420","Enid, OK Metro Area","61898","*****",
"310M500US21500","Erie, PA Metro Area","273835","*****",
"310M500US21660","Eugene-Springfield, OR Metro Area","373340","*****",
"310M500US21780","Evansville, IN-KY Metro Area","314960","*****",
"310M500US21820","Fairbanks, AK Metro Area","99072","*****",
"310M500US22020","Fargo, ND-MN Metro Area","240421","*****",
"310M500US22140","Farmington, NM Metro Area","126515","*****",
"310M500US22180","Fayetteville, NC Metro Area","519101","*****",
"310M500US22220","Fayetteville-Springdale-Rogers, AR Metro Area","514259","*****",
"310M500US22380","Flagstaff, AZ Metro Area","141274","*****",
"310M500US22420","Flint, MI Metro Area","407875","*****",
"310M500US22500","Florence, SC Metro Area","205502","*****",
"310M500US22520","Florence-Muscle Shoals, AL Metro Area","147327","*****",
"310M500US22540","Fond du Lac, WI Metro Area","102597","*****",
"310M500US22660","Fort Collins, CO Metro Area","344786","*****",
"310M500US22900","Fort Smith, AR-OK Metro Area","249777","*****",
"310M500US23060","Fort Wayne, IN Metro Area","406305","*****",
"310M500US23420","Fresno, CA Metro Area","984521","*****",
"310M500US23460","Gadsden, AL Metro Area","102748","*****",
"310M500US23540","Gainesville, FL Metro Area","323799","*****",
"310M500US23580","Gainesville, GA Metro Area","198667","*****",
"310M500US23900","Gettysburg, PA Metro Area","102470","*****",
"310M500US24020","Glens Falls, NY Metro Area","125892","*****",
"310M500US24140","Goldsboro, NC Metro Area","123603","*****",
"310M500US24220","Grand Forks, ND-MN Metro Area","101745","*****",
"310M500US24260","Grand Island, NE Metro Area","75480","*****",
"310M500US24300","Grand Junction, CO Metro Area","151218","*****",
"310M500US24340","Grand Rapids-Kentwood, MI Metro Area","1062392","*****",
"310M500US24420","Grants Pass, OR Metro Area","86251","*****",
"310M500US24500","Great Falls, MT Metro Area","81625","*****",
"310M500US24540","Greeley, CO Metro Area","305345","*****",
"310M500US24580","Green Bay, WI Metro Area","319401","*****",
"310M500US24660","Greensboro-High Point, NC Metro Area","762063","*****",
"310M500US24780","Greenville, NC Metro Area","178433","*****",
"310M500US24860","Greenville-Anderson, SC Metro Area","895942","*****",
"310M500US25020","Guayama, PR Metro Area","75623","*****",
"310M500US25060","Gulfport-Biloxi, MS Metro Area","412115","*****",
"310M500US25180","Hagerstown-Martinsburg, MD-WV Metro Area","283147","*****",
"310M500US25220","Hammond, LA Metro Area","132057","*****",
"310M500US25260","Hanford-Corcoran, CA Metro Area","150691","*****",
"310M500US25420","Harrisburg-Carlisle, PA Metro Area","571013","*****",
"310M500US25500","Harrisonburg, VA Metro Area","133557","*****",
"310M500US25540","Hartford-East Hartford-Middletown, CT Metro Area","1207677","*****",
"310M500US25620","Hattiesburg, MS Metro Area","168177","*****",
"310M500US25860","Hickory-Lenoir-Morganton, NC Metro Area","366678","*****",
"310M500US25940","Hilton Head Island-Bluffton, SC Metro Area","214752","*****",
"310M500US25980","Hinesville, GA Metro Area","80041","*****",
"310M500US26140","Homosassa Springs, FL Metro Area","145169","*****",
"310M500US26300","Hot Springs, AR Metro Area","98555","*****",
"310M500US26380","Houma-Thibodaux, LA Metro Area","210162","*****",
"310M500US26420","Houston-The Woodlands-Sugar Land, TX Metro Area","6884138","*****",
"310M500US26580","Huntington-Ashland, WV-KY-OH Metro Area","361832","*****",
"310M500US26620","Huntsville, AL Metro Area","457003","*****",
"310M500US26820","Idaho Falls, ID Metro Area","145507","*****",
"310M500US26900","Indianapolis-Carmel-Anderson, IN Metro Area","2029472","*****",
"310M500US26980","Iowa City, IA Metro Area","170677","*****",
"310M500US27060","Ithaca, NY Metro Area","102642","*****",
"310M500US27100","Jackson, MI Metro Area","158636","*****",
"310M500US27140","Jackson, MS Metro Area","597727","*****",
"310M500US27180","Jackson, TN Metro Area","178442","*****",
"310M500US27260","Jacksonville, FL Metro Area","1503574","*****",
"310M500US27340","Jacksonville, NC Metro Area","195069","*****",
"310M500US27500","Janesville-Beloit, WI Metro Area","162152","*****",
"310M500US27620","Jefferson City, MO Metro Area","151273","*****",
"310M500US27740","Johnson City, TN Metro Area","202049","*****",
"310M500US27780","Johnstown, PA Metro Area","133009","*****",
"310M500US27860","Jonesboro, AR Metro Area","131241","*****",
"310M500US27900","Joplin, MO Metro Area","178100","*****",
"310M500US27980","Kahului-Wailuku-Lahaina, HI Metro Area","165979","15",
"310M500US28020","Kalamazoo-Portage, MI Metro Area","262745","*****",
"310M500US28100","Kankakee, IL Metro Area","110637","*****",
"310M500US28140","Kansas City, MO-KS Metro Area","2124518","*****",
"310M500US28420","Kennewick-Richland, WA Metro Area","289527","*****",
"310M500US28660","Killeen-Temple, TX Metro Area","444716","*****",
"310M500US28700","Kingsport-Bristol, TN-VA Metro Area","306546","*****",
"310M500US28740","Kingston, NY Metro Area","178665","*****",
"310M500US28940","Knoxville, TN Metro Area","853337","*****",
"310M500US29020","Kokomo, IN Metro Area","82331","*****",
"310M500US29100","La Crosse-Onalaska, WI-MN Metro Area","136542","*****",
"310M500US29180","Lafayette, LA Metro Area","489914","*****",
"310M500US29200","Lafayette-West Lafayette, IN Metro Area","228541","*****",
"310M500US29340","Lake Charles, LA Metro Area","208549","*****",
"310M500US29420","Lake Havasu City-Kingman, AZ Metro Area","207695","*****",
"310M500US29460","Lakeland-Winter Haven, FL Metro Area","686218","*****",
"310M500US29540","Lancaster, PA Metro Area","540999","*****",
"310M500US29620","Lansing-East Lansing, MI Metro Area","546772","*****",
"310M500US29700","Laredo, TX Metro Area","273526","*****",
"310M500US29740","Las Cruces, NM Metro Area","216069","*****",
"310M500US29820","Las Vegas-Henderson-Paradise, NV Metro Area","2182004","*****",
"310M500US29940","Lawrence, KS Metro Area","120290","*****",
"310M500US30020","Lawton, OK Metro Area","127620","*****",
"310M500US30140","Lebanon, PA Metro Area","139729","*****",
"310M500US30300","Lewiston, ID-WA Metro Area","62638","*****",
"310M500US30340","Lewiston-Auburn, ME Metro Area","107602","*****",
"310M500US30460","Lexington-Fayette, KY Metro Area","510647","*****",
"310M500US30620","Lima, OH Metro Area","103175","*****",
"310M500US30700","Lincoln, NE Metro Area","330329","*****",
"310M500US30780","Little Rock-North Little Rock-Conway, AR Metro Area","737015","*****",
"310M500US30860","Logan, UT-ID Metro Area","137629","*****",
"310M500US30980","Longview, TX Metro Area","284796","*****",
"310M500US31020","Longview, WA Metro Area","106778","*****",
"310M500US31080","Los Angeles-Long Beach-Anaheim, CA Metro Area","13249614","*****",
"310M500US31140","Louisville/Jefferson County, KY-IN Metro Area","1257088","*****",
"310M500US31180","Lubbock, TX Metro Area","316474","*****",
"310M500US31340","Lynchburg, VA Metro Area","261652","*****",
"310M500US31420","Macon-Bibb County, GA Metro Area","229504","*****",
"310M500US31460","Madera, CA Metro Area","155433","*****",
"310M500US31540","Madison, WI Metro Area","653725","*****",
"310M500US31700","Manchester-Nashua, NH Metro Area","413035","*****",
"310M500US31740","Manhattan, KS Metro Area","132928","*****",
"310M500US31860","Mankato, MN Metro Area","100749","*****",
"310M500US31900","Mansfield, OH Metro Area","121100","*****",
"310M500US32420","Mayagüez, PR Metro Area","99545","*****",
"310M500US32580","McAllen-Edinburg-Mission, TX Metro Area","855176","*****",
"310M500US32780","Medford, OR Metro Area","216574","*****",
"310M500US32820","Memphis, TN-MS-AR Metro Area","1339623","*****",
"310M500US32900","Merced, CA Metro Area","271382","*****",
"310M500US33100","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","6090660","*****",
"310M500US33140","Michigan City-La Porte, IN Metro Area","110154","*****",
"310M500US33220","Midland, MI Metro Area","83355","*****",
"310M500US33260","Midland, TX Metro Area","173816","*****",
"310M500US33340","Milwaukee-Waukesha, WI Metro Area","1575223","*****",
"310M500US33460","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","3573609","*****",
"310M500US33540","Missoula, MT Metro Area","117309","*****",
"310M500US33660","Mobile, AL Metro Area","430655","*****",
"310M500US33700","Modesto, CA Metro Area","543194","*****",
"310M500US33740","Monroe, LA Metro Area","203457","*****",
"310M500US33780","Monroe, MI Metro Area","149727","*****",
"310M500US33860","Montgomery, AL Metro Area","373544","*****",
"310M500US34060","Morgantown, WV Metro Area","139157","*****",
