"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"310M300US10180","Abilene, TX Metro Area","168774","*****",
"310M300US10380","Aguadilla-Isabela, PR Metro Area","320810","*****",
"310M300US10420","Akron, OH Metro Area","703168","*****",
"310M300US10500","Albany, GA Metro Area","154830","*****",
"310M300US10540","Albany, OR Metro Area","119862","*****",
"310M300US10580","Albany-Schenectady-Troy, NY Metro Area","879291","*****",
"310M300US10740","Albuquerque, NM Metro Area","904486","*****",
"310M300US10780","Alexandria, LA Metro Area","154745","*****",
"310M300US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","830737","*****",
"310M300US11020","Altoona, PA Metro Area","125917","*****",
"310M300US11100","Amarillo, TX Metro Area","260495","102",
"310M300US11180","Ames, IA Metro Area","94834","*****",
"310M300US11260","Anchorage, AK Metro Area","398000","*****",
"310M300US11460","Ann Arbor, MI Metro Area","358082","*****",
"310M300US11500","Anniston-Oxford-Jacksonville, AL Metro Area","115883","*****",
"310M300US11540","Appleton, WI Metro Area","231452","*****",
"310M300US11640","Arecibo, PR Metro Area","190808","*****",
"310M300US11700","Asheville, NC Metro Area","441724","*****",
"310M300US12020","Athens-Clarke County, GA Metro Area","200213","*****",
"310M300US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","5612777","*****",
"310M300US12100","Atlantic City-Hammonton, NJ Metro Area","274026","*****",
"310M300US12220","Auburn-Opelika, AL Metro Area","153947","*****",
"310M300US12260","Augusta-Richmond County, GA-SC Metro Area","584964","*****",
"310M300US12420","Austin-Round Rock, TX Metro Area","1942615","*****",
"310M300US12540","Bakersfield, CA Metro Area","871337","*****",
"310M300US12580","Baltimore-Columbia-Towson, MD Metro Area","2780873","*****",
"310M300US12620","Bangor, ME Metro Area","152978","*****",
"310M300US12700","Barnstable Town, MA Metro Area","214703","*****",
"310M300US12940","Baton Rouge, LA Metro Area","824667","*****",
"310M300US12980","Battle Creek, MI Metro Area","134691","*****",
"310M300US13020","Bay City, MI Metro Area","106107","*****",
"310M300US13140","Beaumont-Port Arthur, TX Metro Area","406506","*****",
"310M300US13220","Beckley, WV Metro Area","123243","*****",
"310M300US13380","Bellingham, WA Metro Area","209729","*****",
"310M300US13460","Bend-Redmond, OR Metro Area","170813","*****",
"310M300US13740","Billings, MT Metro Area","166414","100",
"310M300US13780","Binghamton, NY Metro Area","247030","*****",
"310M300US13820","Birmingham-Hoover, AL Metro Area","1141309","*****",
"310M300US13900","Bismarck, ND Metro Area","126392","81",
"310M300US13980","Blacksburg-Christiansburg-Radford, VA Metro Area","181288","*****",
"310M300US14010","Bloomington, IL Metro Area","189576","*****",
"310M300US14020","Bloomington, IN Metro Area","164330","*****",
"310M300US14100","Bloomsburg-Berwick, PA Metro Area","85176","*****",
"310M300US14260","Boise City, ID Metro Area","663680","*****",
"310M300US14460","Boston-Cambridge-Newton, MA-NH Metro Area","4728844","*****",
"310M300US14500","Boulder, CO Metro Area","313961","*****",
"310M300US14540","Bowling Green, KY Metro Area","166401","*****",
"310M300US14740","Bremerton-Silverdale, WA Metro Area","257488","*****",
"310M300US14860","Bridgeport-Stamford-Norwalk, CT Metro Area","941618","*****",
"310M300US15180","Brownsville-Harlingen, TX Metro Area","418785","*****",
"310M300US15260","Brunswick, GA Metro Area","114967","*****",
"310M300US15380","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area","1135503","*****",
"310M300US15500","Burlington, NC Metro Area","156372","*****",
"310M300US15540","Burlington-South Burlington, VT Metro Area","216080","*****",
"310M300US15680","California-Lexington Park, MD Metro Area","110675","*****",
"310M300US15940","Canton-Massillon, OH Metro Area","402870","*****",
"310M300US15980","Cape Coral-Fort Myers, FL Metro Area","680970","*****",
