"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"310M200US10180","Abilene, TX Metro Area","167171","*****",
"310M200US10380","Aguadilla-Isabela, PR Metro Area","331146","*****",
"310M200US10420","Akron, OH Metro Area","703017","*****",
"310M200US10500","Albany, GA Metro Area","156706","*****",
"310M200US10540","Albany, OR Metro Area","118270","*****",
"310M200US10580","Albany-Schenectady-Troy, NY Metro Area","875567","*****",
"310M200US10740","Albuquerque, NM Metro Area","899137","*****",
"310M200US10780","Alexandria, LA Metro Area","154562","*****",
"310M200US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","826260","*****",
"310M200US11020","Altoona, PA Metro Area","126708","*****",
"310M200US11100","Amarillo, TX Metro Area","257038","121",
"310M200US11180","Ames, IA Metro Area","91939","*****",
"310M200US11260","Anchorage, AK Metro Area","392021","*****",
"310M200US11460","Ann Arbor, MI Metro Area","351454","*****",
"310M200US11500","Anniston-Oxford-Jacksonville, AL Metro Area","117186","*****",
"310M200US11540","Appleton, WI Metro Area","228641","*****",
"310M200US11640","Arecibo, PR Metro Area","195749","*****",
"310M200US11700","Asheville, NC Metro Area","433204","*****",
"310M200US12020","Athens-Clarke County, GA Metro Area","196287","*****",
"310M200US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","5455053","*****",
"310M200US12100","Atlantic City-Hammonton, NJ Metro Area","275325","*****",
"310M200US12220","Auburn-Opelika, AL Metro Area","147790","*****",
"310M200US12260","Augusta-Richmond County, GA-SC Metro Area","575669","*****",
"310M200US12420","Austin-Round Rock, TX Metro Area","1835016","*****",
"310M200US12540","Bakersfield, CA Metro Area","857730","*****",
"310M200US12580","Baltimore-Columbia-Towson, MD Metro Area","2753396","*****",
"310M200US12620","Bangor, ME Metro Area","153627","*****",
"310M200US12700","Barnstable Town, MA Metro Area","215167","*****",
"310M200US12940","Baton Rouge, LA Metro Area","814805","*****",
"310M200US12980","Battle Creek, MI Metro Area","135150","*****",
"310M200US13020","Bay City, MI Metro Area","107074","*****",
"310M200US13140","Beaumont-Port Arthur, TX Metro Area","404741","*****",
"310M200US13220","Beckley, WV Metro Area","124536","*****",
"310M200US13380","Bellingham, WA Metro Area","204855","*****",
"310M200US13460","Bend-Redmond, OR Metro Area","163141","*****",
"310M200US13740","Billings, MT Metro Area","162892","117",
"310M200US13780","Binghamton, NY Metro Area","249261","*****",
"310M200US13820","Birmingham-Hoover, AL Metro Area","1135534","*****",
"310M200US13900","Bismarck, ND Metro Area","120688","97",
"310M200US13980","Blacksburg-Christiansburg-Radford, VA Metro Area","179908","*****",
"310M200US14010","Bloomington, IL Metro Area","188851","*****",
"310M200US14020","Bloomington, IN Metro Area","162422","*****",
"310M200US14100","Bloomsburg-Berwick, PA Metro Area","85564","*****",
"310M200US14260","Boise City, ID Metro Area","639616","*****",
