"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"310M200US10180","Abilene, TX Metro Area","167945","*****",
"310M200US10380","Aguadilla-Isabela, PR Metro Area","325921","*****",
"310M200US10420","Akron, OH Metro Area","703744","*****",
"310M200US10500","Albany, GA Metro Area","155917","*****",
"310M200US10540","Albany, OR Metro Area","118971","*****",
"310M200US10580","Albany-Schenectady-Troy, NY Metro Area","877846","*****",
"310M200US10740","Albuquerque, NM Metro Area","902731","*****",
"310M200US10780","Alexandria, LA Metro Area","154587","*****",
"310M200US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","828232","*****",
"310M200US11020","Altoona, PA Metro Area","126448","*****",
"310M200US11100","Amarillo, TX Metro Area","259216","88",
"310M200US11180","Ames, IA Metro Area","93586","*****",
"310M200US11260","Anchorage, AK Metro Area","395285","*****",
"310M200US11460","Ann Arbor, MI Metro Area","354092","*****",
"310M200US11500","Anniston-Oxford-Jacksonville, AL Metro Area","116648","*****",
"310M200US11540","Appleton, WI Metro Area","230108","*****",
"310M200US11640","Arecibo, PR Metro Area","193243","*****",
"310M200US11700","Asheville, NC Metro Area","437252","*****",
"310M200US12020","Athens-Clarke County, GA Metro Area","198225","*****",
"310M200US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","5535837","*****",
"310M200US12100","Atlantic City-Hammonton, NJ Metro Area","275376","*****",
"310M200US12220","Auburn-Opelika, AL Metro Area","150982","*****",
"310M200US12260","Augusta-Richmond County, GA-SC Metro Area","580178","*****",
"310M200US12420","Austin-Round Rock, TX Metro Area","1889094","*****",
"310M200US12540","Bakersfield, CA Metro Area","865736","*****",
"310M200US12580","Baltimore-Columbia-Towson, MD Metro Area","2769818","*****",
"310M200US12620","Bangor, ME Metro Area","153437","*****",
"310M200US12700","Barnstable Town, MA Metro Area","214766","*****",
"310M200US12940","Baton Rouge, LA Metro Area","819861","*****",
"310M200US12980","Battle Creek, MI Metro Area","134790","*****",
"310M200US13020","Bay City, MI Metro Area","106698","*****",
"310M200US13140","Beaumont-Port Arthur, TX Metro Area","405695","*****",
"310M200US13220","Beckley, WV Metro Area","124027","*****",
"310M200US13380","Bellingham, WA Metro Area","207100","*****",
"310M200US13460","Bend-Redmond, OR Metro Area","166622","*****",
"310M200US13740","Billings, MT Metro Area","164716","110",
"310M200US13780","Binghamton, NY Metro Area","248292","*****",
"310M200US13820","Birmingham-Hoover, AL Metro Area","1138476","*****",
"310M200US13900","Bismarck, ND Metro Area","123407","86",
"310M200US13980","Blacksburg-Christiansburg-Radford, VA Metro Area","180482","*****",
"310M200US14010","Bloomington, IL Metro Area","189502","*****",
"310M200US14020","Bloomington, IN Metro Area","163596","*****",
"310M200US14100","Bloomsburg-Berwick, PA Metro Area","85420","*****",
"310M200US14260","Boise City, ID Metro Area","651402","*****",
"310M200US14460","Boston-Cambridge-Newton, MA-NH Metro Area","4694565","*****",
"310M200US14500","Boulder, CO Metro Area","310032","*****",
"310M200US14540","Bowling Green, KY Metro Area","164245","*****",
"310M200US14740","Bremerton-Silverdale, WA Metro Area","255441","*****",
"310M200US14860","Bridgeport-Stamford-Norwalk, CT Metro Area","939983","*****",
"310M200US15180","Brownsville-Harlingen, TX Metro Area","417947","*****",
"310M200US15260","Brunswick, GA Metro Area","114202","*****",
"310M200US15380","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area","1135734","*****",
"310M200US15500","Burlington, NC Metro Area","155258","*****",
"310M200US15540","Burlington-South Burlington, VT Metro Area","215081","*****",
"310M200US15680","California-Lexington Park, MD Metro Area","109614","*****",
"310M200US15940","Canton-Massillon, OH Metro Area","403340","*****",
"310M200US15980","Cape Coral-Fort Myers, FL Metro Area","663675","*****",
"310M200US16020","Cape Girardeau, MO-IL Metro Area","97326","*****",
"310M200US16060","Carbondale-Marion, IL Metro Area","126655","*****",
"310M200US16180","Carson City, NV Metro Area","54482","*****",
"310M200US16220","Casper, WY Metro Area","80011","*****",
"310M200US16300","Cedar Rapids, IA Metro Area","263003","*****",
"310M200US16540","Chambersburg-Waynesboro, PA Metro Area","152285","*****",
"310M200US16580","Champaign-Urbana, IL Metro Area","236096","*****",
"310M200US16620","Charleston, WV Metro Area","223922","*****",
"310M200US16700","Charleston-North Charleston, SC Metro Area","712232","*****",
"310M200US16740","Charlotte-Concord-Gastonia, NC-SC Metro Area","2338792","*****",
"310M200US16820","Charlottesville, VA Metro Area","225070","*****",
"310M200US16860","Chattanooga, TN-GA Metro Area","541124","*****",
"310M200US16940","Cheyenne, WY Metro Area","95431","*****",
"310M200US16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","9534008","*****",
"310M200US17020","Chico, CA Metro Area","222564","*****",
"310M200US17140","Cincinnati, OH-KY-IN Metro Area","2139466","*****",
"310M200US17300","Clarksville, TN-KY Metro Area","274389","*****",
"310M200US17420","Cleveland, TN Metro Area","118749","*****",
"310M200US17460","Cleveland-Elyria, OH Metro Area","2064483","*****",
"310M200US17660","Coeur d'Alene, ID Metro Area","145046","*****",
"310M200US17780","College Station-Bryan, TX Metro Area","239096","*****",
"310M200US17820","Colorado Springs, CO Metro Area","678364","*****",
"310M200US17860","Columbia, MO Metro Area","170770","*****",
"310M200US17900","Columbia, SC Metro Area","792530","*****",
"310M200US17980","Columbus, GA-AL Metro Area","312016","*****",
