"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"310M200US10180","Abilene, TX Metro Area","166202","*****",
"310M200US10380","Aguadilla-Isabela, PR Metro Area","335269","*****",
"310M200US10420","Akron, OH Metro Area","704979","*****",
"310M200US10500","Albany, GA Metro Area","157177","*****",
"310M200US10540","Albany, OR Metro Area","117648","*****",
"310M200US10580","Albany-Schenectady-Troy, NY Metro Area","873238","*****",
"310M200US10740","Albuquerque, NM Metro Area","893241","*****",
"310M200US10780","Alexandria, LA Metro Area","154147","*****",
"310M200US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","823731","*****",
"310M200US11020","Altoona, PA Metro Area","126940","*****",
"310M200US11100","Amarillo, TX Metro Area","254583","87",
"310M200US11180","Ames, IA Metro Area","90750","*****",
"310M200US11260","Anchorage, AK Metro Area","386756","*****",
"310M200US11460","Ann Arbor, MI Metro Area","348560","*****",
"310M200US11500","Anniston-Oxford-Jacksonville, AL Metro Area","117714","*****",
"310M200US11540","Appleton, WI Metro Area","227301","*****",
"310M200US11640","Arecibo, PR Metro Area","197661","*****",
"310M200US11700","Asheville, NC Metro Area","429177","*****",
"310M200US12020","Athens-Clarke County, GA Metro Area","194878","*****",
"310M200US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","5379176","*****",
"310M200US12100","Atlantic City-Hammonton, NJ Metro Area","274960","*****",
"310M200US12220","Auburn-Opelika, AL Metro Area","144405","*****",
"310M200US12260","Augusta-Richmond County, GA-SC Metro Area","570516","*****",
"310M200US12420","Austin-Round Rock, TX Metro Area","1782032","*****",
"310M200US12540","Bakersfield, CA Metro Area","848204","*****",
"310M200US12580","Baltimore-Columbia-Towson, MD Metro Area","2734044","*****",
"310M200US12620","Bangor, ME Metro Area","153649","*****",
"310M200US12700","Barnstable Town, MA Metro Area","215449","*****",
"310M200US12940","Baton Rouge, LA Metro Area","808816","*****",
"310M200US12980","Battle Creek, MI Metro Area","135534","*****",
"310M200US13020","Bay City, MI Metro Area","107312","*****",
"310M200US13140","Beaumont-Port Arthur, TX Metro Area","403814","*****",
"310M200US13220","Beckley, WV Metro Area","124882","*****",
"310M200US13380","Bellingham, WA Metro Area","203211","*****",
"310M200US13460","Bend-Redmond, OR Metro Area","160565","*****",
"310M200US13740","Billings, MT Metro Area","160991","104",
"310M200US13780","Binghamton, NY Metro Area","250087","*****",
"310M200US13820","Birmingham-Hoover, AL Metro Area","1132182","*****",
"310M200US13900","Bismarck, ND Metro Area","117878","87",
"310M200US13980","Blacksburg-Christiansburg-Radford, VA Metro Area","178865","*****",
"310M200US14010","Bloomington, IL Metro Area","187751","*****",
"310M200US14020","Bloomington, IN Metro Area","161101","*****",
"310M200US14100","Bloomsburg-Berwick, PA Metro Area","85400","*****",
"310M200US14260","Boise City, ID Metro Area","628966","*****",
"310M200US14460","Boston-Cambridge-Newton, MA-NH Metro Area","4604278","*****",
"310M200US14500","Boulder, CO Metro Area","301072","*****",
"310M200US14540","Bowling Green, KY Metro Area","160455","*****",
"310M200US14740","Bremerton-Silverdale, WA Metro Area","252687","*****",
"310M200US14860","Bridgeport-Stamford-Norwalk, CT Metro Area","926233","*****",
"310M200US15180","Brownsville-Harlingen, TX Metro Area","410710","*****",
"310M200US15260","Brunswick, GA Metro Area","112831","*****",
"310M200US15380","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area","1134695","*****",
"310M200US15500","Burlington, NC Metro Area","152472","*****",
"310M200US15540","Burlington-South Burlington, VT Metro Area","212640","*****",
"310M200US15680","California-Lexington Park, MD Metro Area","107079","*****",
"310M200US15940","Canton-Massillon, OH Metro Area","404037","*****",
"310M200US15980","Cape Coral-Fort Myers, FL Metro Area","633968","*****",
"310M200US16020","Cape Girardeau, MO-IL Metro Area","96710","*****",
"310M200US16060","Carbondale-Marion, IL Metro Area","126661","*****",
"310M200US16180","Carson City, NV Metro Area","54821","*****",
"310M200US16220","Casper, WY Metro Area","77343","*****",
"310M200US16300","Cedar Rapids, IA Metro Area","260033","*****",
"310M200US16540","Chambersburg-Waynesboro, PA Metro Area","150594","*****",
"310M200US16580","Champaign-Urbana, IL Metro Area","233039","*****",
"310M200US16620","Charleston, WV Metro Area","226180","*****",
"310M200US16700","Charleston-North Charleston, SC Metro Area","682904","*****",
"310M200US16740","Charlotte-Concord-Gastonia, NC-SC Metro Area","2261321","*****",
"310M200US16820","Charlottesville, VA Metro Area","220802","*****",
"310M200US16860","Chattanooga, TN-GA Metro Area","533187","*****",
"310M200US16940","Cheyenne, WY Metro Area","93073","*****",
"310M200US16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","9488493","*****",
"310M200US17020","Chico, CA Metro Area","220542","*****",
"310M200US17140","Cincinnati, OH-KY-IN Metro Area","2122940","*****",
"310M200US17300","Clarksville, TN-KY Metro Area","266098","*****",
"310M200US17420","Cleveland, TN Metro Area","116793","*****",
"310M200US17460","Cleveland-Elyria, OH Metro Area","2070965","*****",
"310M200US17660","Coeur d'Alene, ID Metro Area","140785","*****",
"310M200US17780","College Station-Bryan, TX Metro Area","231417","*****",
"310M200US17820","Colorado Springs, CO Metro Area","657699","*****",
"310M200US17860","Columbia, MO Metro Area","165776","*****",
"310M200US17900","Columbia, SC Metro Area","776794","*****",
"310M200US17980","Columbus, GA-AL Metro Area","303626","*****",
"310M200US18020","Columbus, IN Metro Area","77930","*****",
"310M200US18140","Columbus, OH Metro Area","1926242","*****",
"310M200US18580","Corpus Christi, TX Metro Area","433094","*****",
"310M200US18700","Corvallis, OR Metro Area","85989","*****",
"310M200US18880","Crestview-Fort Walton Beach-Destin, FL Metro Area","242442","*****",
"310M200US19060","Cumberland, MD-WV Metro Area","102409","*****",
"310M200US19100","Dallas-Fort Worth-Arlington, TX Metro Area","6575833","*****",
"310M200US19140","Dalton, GA Metro Area","142060","*****",
"310M200US19180","Danville, IL Metro Area","81147","*****",
"310M200US19300","Daphne-Fairhope-Foley, AL Metro Area","187114","*****",
"310M200US19340","Davenport-Moline-Rock Island, IA-IL Metro Area","381142","*****",
"310M200US19380","Dayton, OH Metro Area","801888","*****",
"310M200US19460","Decatur, AL Metro Area","153682","*****",
"310M200US19500","Decatur, IL Metro Area","110262","*****",
"310M200US19660","Deltona-Daytona Beach-Ormond Beach, FL Metro Area","593569","*****",
"310M200US19740","Denver-Aurora-Lakewood, CO Metro Area","2601465","*****",
"310M200US19780","Des Moines-West Des Moines, IA Metro Area","580913","*****",
"310M200US19820","Detroit-Warren-Dearborn, MI Metro Area","4295700","*****",
"310M200US20020","Dothan, AL Metro Area","146425","*****",
"310M200US20100","Dover, DE Metro Area","165030","*****",
"310M200US20220","Dubuque, IA Metro Area","94411","*****",
"310M200US20260","Duluth, MN-WI Metro Area","279719","*****",
"310M200US20500","Durham-Chapel Hill, NC Metro Area","516798","*****",
"310M200US20700","East Stroudsburg, PA Metro Area","168947","*****",
"310M200US20740","Eau Claire, WI Metro Area","162464","*****",
"310M200US20940","El Centro, CA Metro Area","175201","*****",
"310M200US21060","Elizabethtown-Fort Knox, KY Metro Area","149388","*****",
"310M200US21140","Elkhart-Goshen, IN Metro Area","198662","*****",
"310M200US21300","Elmira, NY Metro Area","88876","*****",
"310M200US21340","El Paso, TX Metro Area","816409","*****",
"310M200US21500","Erie, PA Metro Area","280518","*****",
"310M200US21660","Eugene, OR Metro Area","353382","*****",
"310M200US21780","Evansville, IN-KY Metro Area","312412","*****",
"310M200US21820","Fairbanks, AK Metro Area","98656","*****",
"310M200US22020","Fargo, ND-MN Metro Area","213718","*****",
"310M200US22140","Farmington, NM Metro Area","128476","*****",
"310M200US22180","Fayetteville, NC Metro Area","370875","*****",
"310M200US22220","Fayetteville-Springdale-Rogers, AR-MO Metro Area","473913","*****",
"310M200US22380","Flagstaff, AZ Metro Area","134795","*****",
"310M200US22420","Flint, MI Metro Area","421575","*****",
"310M200US22500","Florence, SC Metro Area","205739","*****",
"310M200US22520","Florence-Muscle Shoals, AL Metro Area","147122","*****",
"310M200US22540","Fond du Lac, WI Metro Area","101666","*****",
"310M200US22660","Fort Collins, CO Metro Area","305798","*****",
"310M200US22900","Fort Smith, AR-OK Metro Area","280228","*****",
"310M200US23060","Fort Wayne, IN Metro Area","419305","*****",
"310M200US23420","Fresno, CA Metro Area","939605","*****",
"310M200US23460","Gadsden, AL Metro Area","104260","*****",
"310M200US23540","Gainesville, FL Metro Area","266765","*****",
"310M200US23580","Gainesville, GA Metro Area","182841","*****",
"310M200US23900","Gettysburg, PA Metro Area","101496","*****",
"310M200US24020","Glens Falls, NY Metro Area","128821","*****",
"310M200US24140","Goldsboro, NC Metro Area","123382","*****",
"310M200US24220","Grand Forks, ND-MN Metro Area","98879","*****",
"310M200US24260","Grand Island, NE Metro Area","82631","*****",
"310M200US24300","Grand Junction, CO Metro Area","147432","*****",
"310M200US24340","Grand Rapids-Wyoming, MI Metro Area","998916","*****",
"310M200US24420","Grants Pass, OR Metro Area","82783","*****",
"310M200US24500","Great Falls, MT Metro Area","81621","*****",
"310M200US24540","Greeley, CO Metro Area","258780","*****",
"310M200US24580","Green Bay, WI Metro Area","308706","*****",
"310M200US24660","Greensboro-High Point, NC Metro Area","730342","*****",
"310M200US24780","Greenville, NC Metro Area","170485","*****",
"310M200US24860","Greenville-Anderson-Mauldin, SC Metro Area","834277","*****",
"310M200US25020","Guayama, PR Metro Area","83185","*****",
"310M200US25060","Gulfport-Biloxi-Pascagoula, MS Metro Area","375259","*****",
"310M200US25180","Hagerstown-Martinsburg, MD-WV Metro Area","254247","*****",
"310M200US25220","Hammond, LA Metro Area","122665","*****",
"310M200US25260","Hanford-Corcoran, CA Metro Area","151806","*****",
"310M200US25420","Harrisburg-Carlisle, PA Metro Area","552292","*****",
"310M200US25500","Harrisonburg, VA Metro Area","126811","*****",
"310M200US25540","Hartford-West Hartford-East Hartford, CT Metro Area","1213883","*****",
"310M200US25620","Hattiesburg, MS Metro Area","144928","*****",
"310M200US25860","Hickory-Lenoir-Morganton, NC Metro Area","364501","*****",
"310M200US25940","Hilton Head Island-Bluffton-Beaufort, SC Metro Area","190762","*****",
"310M200US25980","Hinesville, GA Metro Area","80184","*****",
